date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:23	9440/9440	---M--	200	added ('OK')	image/jpeg	etag:%2224e0-5b707a0c12f02%22	https://gymove.dexignzone.com/xhtml/images/product/4.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/product/4.jpg	(from https://gymove.dexignzone.com/xhtml/ecom-product-grid.html)
14:35:24	10443/10443	---M--	200	added ('OK')	image/jpeg	etag:%2228cb-5b707a0c8dd28%22	https://gymove.dexignzone.com/xhtml/images/product/5.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/product/5.jpg	(from https://gymove.dexignzone.com/xhtml/ecom-product-grid.html)
14:35:24	13362/13362	---M--	200	added ('OK')	image/jpeg	etag:%223432-5b707a0d0cc69%22	https://gymove.dexignzone.com/xhtml/images/product/6.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/product/6.jpg	(from https://gymove.dexignzone.com/xhtml/ecom-product-grid.html)
14:35:24	11473/11473	---M--	200	added ('OK')	image/jpeg	etag:%222cd1-5b707a0d86d89%22	https://gymove.dexignzone.com/xhtml/images/product/7.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/product/7.jpg	(from https://gymove.dexignzone.com/xhtml/ecom-product-grid.html)
14:35:25	526739/526739	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2280993-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/highlightjs/highlight.pack.min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/highlightjs/highlight.pack.min.js	(from https://gymove.dexignzone.com/xhtml/ecom-product-grid.html)
14:35:25	1387/1387	---M-Z	200	added ('OK')	text/css	etag:%2256b-5a1ea14817180-gzip%22	https://gymove.dexignzone.com/xhtml/vendor/star-rating/star-rating-svg.css	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/star-rating/star-rating-svg.css	(from https://gymove.dexignzone.com/xhtml/ecom-product-list.html)
14:35:26	1503/1503	---M-Z	200	added ('OK')	application/x-javascript	etag:%225df-5a1ea18ad8f00-gzip%22	https://gymove.dexignzone.com/xhtml/vendor/star-rating/jquery.star-rating-svg.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/star-rating/jquery.star-rating-svg.js	(from https://gymove.dexignzone.com/xhtml/ecom-product-list.html)
14:35:27	35461/35461	---M--	200	added ('OK')	image/jpeg	etag:%228a85-5b707a211f20b%22	https://gymove.dexignzone.com/xhtml/images/tab/1.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/tab/1.jpg	(from https://gymove.dexignzone.com/xhtml/ecom-product-detail.html)
14:35:27	3882/3882	---M--	200	added ('OK')	image/jpeg	etag:%22f2a-5b707a2198626%22	https://gymove.dexignzone.com/xhtml/images/tab/2.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/tab/2.jpg	(from https://gymove.dexignzone.com/xhtml/ecom-product-detail.html)
14:35:27	9075/9075	---M--	200	added ('OK')	image/jpeg	etag:%222373-5b707a21ffbcc%22	https://gymove.dexignzone.com/xhtml/images/tab/3.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/tab/3.jpg	(from https://gymove.dexignzone.com/xhtml/ecom-product-detail.html)
14:35:27	4522/4522	---M--	200	added ('OK')	image/jpeg	etag:%2211aa-5b707a2268b7c%22	https://gymove.dexignzone.com/xhtml/images/tab/4.jpg	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/tab/4.jpg	(from https://gymove.dexignzone.com/xhtml/ecom-product-detail.html)
14:35:28	4065/4065	---M--	200	added ('OK')	image/png	etag:%22fe1-5b7079ebbe8fd%22	https://gymove.dexignzone.com/xhtml/images/qr.png	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/qr.png	(from https://gymove.dexignzone.com/xhtml/ecom-invoice.html)
14:35:29	482/482	---M--	200	added ('OK')	image/png	etag:%221e2-5b707af4269fd%22	https://gymove.dexignzone.com/xhtml/images/avatar/5.png	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/avatar/5.png	(from https://gymove.dexignzone.com/xhtml/ecom-customers.html)
14:35:29	2283/2283	---M--	200	added ('OK')	image/png	etag:%228eb-5b707aefaf3b3%22	https://gymove.dexignzone.com/xhtml/images/avatar/1.png	F:/SM/gymove/gymove.dexignzone.com/xhtml/images/avatar/1.png	(from https://gymove.dexignzone.com/xhtml/ecom-customers.html)
14:35:30	126139/126139	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221ecbb-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/flot/jquery.flot.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/flot/jquery.flot.js	(from https://gymove.dexignzone.com/xhtml/chart-flot.html)
14:35:30	24629/24629	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226035-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/flot/jquery.flot.pie.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/flot/jquery.flot.pie.js	(from https://gymove.dexignzone.com/xhtml/chart-flot.html)
14:35:30	3373/3373	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22d2d-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/flot/jquery.flot.resize.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/flot/jquery.flot.resize.js	(from https://gymove.dexignzone.com/xhtml/chart-flot.html)
14:35:30	1756/1756	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226dc-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/flot-spline/jquery.flot.spline.min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/flot-spline/jquery.flot.spline.min.js	(from https://gymove.dexignzone.com/xhtml/chart-flot.html)
14:35:30	10880/10880	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%222a80-5b6f8168282f5%22	https://gymove.dexignzone.com/xhtml/js/plugins-init/flot-init.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/js/plugins-init/flot-init.js	(from https://gymove.dexignzone.com/xhtml/chart-flot.html)
14:35:31	90656/90656	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2216220-5b2bc6e333a00%22	https://gymove.dexignzone.com/xhtml/vendor/morris/raphael-min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/morris/raphael-min.js	(from https://gymove.dexignzone.com/xhtml/chart-morris.html)
14:35:31	35658/35658	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%228b4a-58dde996f0800%22	https://gymove.dexignzone.com/xhtml/vendor/morris/morris.min.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/vendor/morris/morris.min.js	(from https://gymove.dexignzone.com/xhtml/chart-morris.html)
14:35:31	8009/8009	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221f49-5b6f816ab33a3%22	https://gymove.dexignzone.com/xhtml/js/plugins-init/morris-init.js	F:/SM/gymove/gymove.dexignzone.com/xhtml/js/plugins-init/morris-init.js	(from https://gymove.dexignzone.com/xhtml/chart-morris.html)
